"'poort van het paradijs'","","","Nistelrode","51.691186","5.578042","","Yes","Unknown","","http://lh3.ggpht.com/AIbWOwlxz8DY296sndTsrdKumwmRKTAnEyY7Je9noTCewwOL-1OLtWXgOTu-T3HibRfBSPk3qfcTgu6awcq8"
"Dierlijke figuren","","Raadhuislaan 51","Oss","51.763812","5.520768","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.763812&mlon=5.520768&zoom=16","http://maps.google.com/maps?q=51.763812,5.520768",""
"Docfapark Hertenkamp","hertenkamp","Bremlaan 11","Oss","51.748606","5.542061","ONL 20180620","No","Unknown","http://www.openstreetmap.org/?mlat=51.748606&mlon=5.542061&zoom=16","http://maps.google.com/maps?q=51.748606,5.542061",""
"Docfapark Playground","","Bremlaan 108","Oss","51.748951","5.542352","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.748951&mlon=5.542352&zoom=16","http://maps.google.com/maps?q=51.748951,5.542352",""
"Dorus Hoeks Speeltuin","dorus, dorus hoeks","Tuinstraat 15","Oss","51.768487","5.51666","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.768487&mlon=5.51666&zoom=16","http://maps.google.com/maps?q=51.768487,5.51666",""
"Dr Zwanenburg","zwanenburg","Kloosterstraat 6","Oss","51.762884","5.533424","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.762884&mlon=5.533424&zoom=16","http://maps.google.com/maps?q=51.762884,5.533424",""
"Draak","","Euterpehof 10","Oss","51.76011","5.519375","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.76011&mlon=5.519375&zoom=16","http://maps.google.com/maps?q=51.76011,5.519375",""
"Drenkkuil","","Drenkkuil 14","Oss","51.778382","5.535332","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.778382&mlon=5.535332&zoom=16","http://maps.google.com/maps?q=51.778382,5.535332",""
"Drijvende Constructie Ijzertijdboerderij","drijvende constructie","Geerstraat","Oss","51.769352","5.495756","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769352&mlon=5.495756&zoom=16","http://maps.google.com/maps?q=51.769352,5.495756",""
"Duo Swings","","Wilhelminasingel 26","Berghem","51.772345","5.572628","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.772345&mlon=5.572628&zoom=16","http://maps.google.com/maps?q=51.772345,5.572628",""
"Dwarf's Playground","dwarf, dwarfs","Hertewissel 73","Oss","51.748026","5.497342","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.748026&mlon=5.497342&zoom=16","http://maps.google.com/maps?q=51.748026,5.497342",""
"Een Teken Van Troost","","","Nistelrode","51.705979","5.569291","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.705979&mlon=5.569291&zoom=16","http://maps.google.com/maps?q=51.705979,5.569291",""
"Engel In Boom","engel","Eikenboomgaard 27","Oss","51.771367","5.526225","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.771367&mlon=5.526225&zoom=16","http://maps.google.com/maps?q=51.771367,5.526225",""
"Entrance statue","entrance","Kloosterstraat 16","Berghem","51.769769","5.568258","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769769&mlon=5.568258&zoom=16","http://maps.google.com/maps?q=51.769769,5.568258",""
"Evenwichtsbalk Rietkraag","evenwichtsbalk","Overlaat 2","Oss","51.778246","5.501032","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.778246&mlon=5.501032&zoom=16","http://maps.google.com/maps?q=51.778246,5.501032",""
"Family Memorial Stone","","Berghemseweg 110","Oss","51.7700709","5.5393477","ONL 20180620","No","Pending","http://www.openstreetmap.org/?mlat=51.7700709&mlon=5.5393477&zoom=16","http://maps.google.com/maps?q=51.7700709,5.5393477",""
"Female Rights Memorial","female rights","Nieuwe Hescheweg 100","Oss","51.755311","5.534395","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.755311&mlon=5.534395&zoom=16","http://maps.google.com/maps?q=51.755311,5.534395",""
"Fietsen In Brabant","","","Nistelrode","51.693228","5.61803","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.693228&mlon=5.61803&zoom=16","http://maps.google.com/maps?q=51.693228,5.61803",""
"Fontein","","Barnsteen","Oss","51.764333","5.509252","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.764333&mlon=5.509252&zoom=16","http://maps.google.com/maps?q=51.764333,5.509252",""
"Fontein in het park","","Zwaluwstraat 1","Oss","51.768615","5.544551","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.768615&mlon=5.544551&zoom=16","http://maps.google.com/maps?q=51.768615,5.544551",""
