"'poort van het paradijs'","","","Nistelrode","51.691186","5.578042","","Yes","Unknown","","http://lh3.ggpht.com/AIbWOwlxz8DY296sndTsrdKumwmRKTAnEyY7Je9noTCewwOL-1OLtWXgOTu-T3HibRfBSPk3qfcTgu6awcq8"
"Maria Kappel Nuland","","","Geffen","51.730613","5.433165","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.730613&mlon=5.433165&zoom=16","http://maps.google.com/maps?q=51.730613,5.433165",""
"Maria Magdalena Kerk","","","Geffen","51.742871","5.461856","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.742871&mlon=5.461856&zoom=16","http://maps.google.com/maps?q=51.742871,5.461856",""
"Maria Moeder","","Rijsvensestraat","Berghem","51.749038","5.569895","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.749038&mlon=5.569895&zoom=16","http://maps.google.com/maps?q=51.749038,5.569895",""
"Mariakapel","","","Heesch","51.715954","5.508844","","Yes","Unknown","","http://lh3.googleusercontent.com/1K8nNYhPcJcKzrMQNpPlbzeVmGlYDxxyQwJFnCk4Do2GbDu6Wh-IlaC6WVVR_2Xu3eR1eXGdAJ6Lc071jfg"
"Marmere Pilaar","","","Oss","51.772111","5.539611","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.772111&mlon=5.539611&zoom=16","http://maps.google.com/maps?q=51.772111,5.539611",""
"Medoc","","Spoorlaan 8","Oss","51.764883","5.528454","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.764883&mlon=5.528454&zoom=16","http://maps.google.com/maps?q=51.764883,5.528454",""
"Meerpaal bij Visserskerk","","Berghemseweg 4","Oss","51.7699271","5.5296032","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.7699271&mlon=5.5296032&zoom=16","http://maps.google.com/maps?q=51.7699271,5.5296032",""
"Meisjesschool","","Oude Molenstraat 2","Oss","51.760598","5.531544","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.760598&mlon=5.531544&zoom=16","http://maps.google.com/maps?q=51.760598,5.531544",""
"Memorial WW II","","","Geffen","51.72237","5.43622","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.72237&mlon=5.43622&zoom=16","http://maps.google.com/maps?q=51.72237,5.43622",""
"Menzel","","","Nistelrode","51.695606","5.579333","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.695606&mlon=5.579333&zoom=16","http://maps.google.com/maps?q=51.695606,5.579333",""
"Metal Art","","Kortfoortstraat 122","Oss","51.763","5.519191","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.763&mlon=5.519191&zoom=16","http://maps.google.com/maps?q=51.763,5.519191",""
"Mill Oss","","Kruisstraat 37","Oss","51.765507","5.520532","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.765507&mlon=5.520532&zoom=16","http://maps.google.com/maps?q=51.765507,5.520532",""
"Mini Soccer","","","Heesch","51.732226","5.524147","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.732226&mlon=5.524147&zoom=16","http://maps.google.com/maps?q=51.732226,5.524147",""
"Modern Art","","","Geffen","51.722962","5.436033","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.722962&mlon=5.436033&zoom=16","http://maps.google.com/maps?q=51.722962,5.436033",""
"Modern Art","","Dorpsplein","Geffen","51.741034","5.461205","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.741034&mlon=5.461205&zoom=16","http://maps.google.com/maps?q=51.741034,5.461205",""
"Modern Art","","Emmalaan 20","Oss","51.753596","5.537143","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.753596&mlon=5.537143&zoom=16","http://maps.google.com/maps?q=51.753596,5.537143",""
"Modern Art","","Kanaalstraat 14","Oss","51.778882","5.549463","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.778882&mlon=5.549463&zoom=16","http://maps.google.com/maps?q=51.778882,5.549463",""
"Moderne Kapel","","","Nistelrode","51.710091","5.56827","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.710091&mlon=5.56827&zoom=16","http://maps.google.com/maps?q=51.710091,5.56827",""
"Moeder Mariabeeld","","Molenstraat 30","Oss","51.766776","5.526023","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.766776&mlon=5.526023&zoom=16","http://maps.google.com/maps?q=51.766776,5.526023",""
"Molen","","","Geffen","51.732807","5.461261","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.732807&mlon=5.461261&zoom=16","http://maps.google.com/maps?q=51.732807,5.461261",""
"Monument Gevallen Burgers Berghem","gevallen burgers","Van Den Heuvelstraat 2","Berghem","51.77205","5.571304","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.77205&mlon=5.571304&zoom=16","http://maps.google.com/maps?q=51.77205,5.571304",""
"Monumental Building","","Bram van Den Berghstraat 131","Oss","51.765872","5.529957","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.765872&mlon=5.529957&zoom=16","http://maps.google.com/maps?q=51.765872,5.529957",""
"Mozaiek Artpiece","","","Geffen","51.738326","5.457657","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.738326&mlon=5.457657&zoom=16","http://maps.google.com/maps?q=51.738326,5.457657",""
"Mozaiek Bank","","Oude Litherweg 18","Oss","51.772951","5.514039","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.772951&mlon=5.514039&zoom=16","http://maps.google.com/maps?q=51.772951,5.514039",""
"Mozaiek Dichtersbuurt","","P.C. Hooftstraat 29","Oss","51.7513942","5.5104832","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.7513942&mlon=5.5104832&zoom=16","http://maps.google.com/maps?q=51.7513942,5.5104832",""
"MozaÃ¯ek 't Woud","t woud","Hertewissel 108","Oss","51.748907","5.497161","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.748907&mlon=5.497161&zoom=16","http://maps.google.com/maps?q=51.748907,5.497161","Unknown","","http://lh3.googleusercontent.com/_gaKZPllU5mzMmyiqWCkYEZbdJz47BW-0gqi4izDfIQ7r6fJqQjSRJvYZXYeZun9PPN4gYY4aFtB9ojSN8ee"
"MozaÃ¯ek Bankje","","","Heesch","51.733579","5.527469","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.733579&mlon=5.527469&zoom=16","http://maps.google.com/maps?q=51.733579,5.527469","http://lh5.ggpht.com/Fr-sicGFmADqYZarfpPbAVrQpS9cnEeR6mApxYcn-8iZS4CLAIA7kAsAfzgFHVJxGH001jwwlNvI3k2QIcE"
"MozaÃ¯ek Bankje Koppellinck","","","Geffen","51.742665","5.463841","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.742665&mlon=5.463841&zoom=16","http://maps.google.com/maps?q=51.742665,5.463841","http://lh6.ggpht.com/0M4U-gz8969ZB9eq-VJJY1wg2_OdRTKBCYUnADckj2W843ChNFh6kkJu0tBASr-F2Dwm3SVlkHh0UDouymszFw"
"MozaÃ¯ek Kunst","","Bessenlaan 24","Oss","51.769879","5.504096","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769879&mlon=5.504096&zoom=16","http://maps.google.com/maps?q=51.769879,5.504096","http://lh3.googleusercontent.com/F4mrJO4KRczWBJlBBct81PoAn1__hVqPq-LQDR3wJv4r8E93SIneFxICdx1Zjfmy029l2ke9GOJM3c5PjP_W"
"Mural Wolfskooi","","De Achterom 86","Oss","51.766438","5.500657","OCL 20180623","No","Pending","http://www.openstreetmap.org/?mlat=51.766438&mlon=5.500657&zoom=16","http://maps.google.com/maps?q=51.766438,5.500657",""
"Muziekkapel","","Ridderhof 41","Oss","51.764998","5.526335","","Yes","None","http://www.openstreetmap.org/?mlat=51.764998&mlon=5.526335&zoom=16","http://maps.google.com/maps?q=51.764998,5.526335",""
"Muziektent Nuland","","","Geffen","51.727987","5.433542","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.727987&mlon=5.433542&zoom=16","http://maps.google.com/maps?q=51.727987,5.433542",""
"Nadenkend Mannetje","","","Oss","51.753863","5.506466","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.753863&mlon=5.506466&zoom=16","http://maps.google.com/maps?q=51.753863,5.506466",""
"National Park  Maashorst Moeflon","","","Nistelrode","51.719669","5.610967","","Yes","Unknown","","http://lh3.googleusercontent.com/mNcAlwvpaLxW_azIr1oTYBzdE43otbiOZBbe-Yaogwz4YENFs8v2JtS6hXEFQYI0kmAuVpM-yLOYNOkKkSDs"
"National Park Maashorst Moeflon","","","Nistelrode","51.719669","5.610967","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.719669&mlon=5.610967&zoom=16","http://maps.google.com/maps?q=51.719669,5.610967",""
"Natuurcentrum","","","Nistelrode","51.696484","5.600407","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.696484&mlon=5.600407&zoom=16","http://maps.google.com/maps?q=51.696484,5.600407",""
"Natuurcentrum De Maashorst","","","Nistelrode","51.695229","5.598472","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.695229&mlon=5.598472&zoom=16","http://maps.google.com/maps?q=51.695229,5.598472",""
"Nieuw Leven 1895","","Nieuwe Brouwerstraat 49","Oss","51.768266","5.518762","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.768266&mlon=5.518762&zoom=16","http://maps.google.com/maps?q=51.768266,5.518762",""
"Nieuwe Horzak-wijk","","Laan der IJzertijd 36","Oss","51.777969","5.532441","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.777969&mlon=5.532441&zoom=16","http://maps.google.com/maps?q=51.777969,5.532441",""
"NS-plaquette","ns","Spoorlaan 7","Oss","51.765147","5.530366","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.765147&mlon=5.530366&zoom=16","http://maps.google.com/maps?q=51.765147,5.530366",""
"Old Windmill","windmill","","Oss","51.76251","5.495572","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.76251&mlon=5.495572&zoom=16","http://maps.google.com/maps?q=51.76251,5.495572",""
"Ons Durske","","Parkstraat 4","Nistelrode","51.701628","5.560909","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.701628&mlon=5.560909&zoom=16","http://maps.google.com/maps?q=51.701628,5.560909",""
"Ons Durske","","Parkstraat 2","Nistelrode","51.701728","5.561719","","Yes","Stop","","https://goo.gl/maps/i5anNcYEQnx",""
"Ontvangende kunstpop","","Uiterwaard 13","Oss","51.779013","5.499759","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.779013&mlon=5.499759&zoom=16","http://maps.google.com/maps?q=51.779013,5.499759",""
"Opening A50 Eindhoven - Oss","","","Nistelrode","51.696607","5.599934","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.696607&mlon=5.599934&zoom=16","http://maps.google.com/maps?q=51.696607,5.599934",""
"Orinses Irene","","","Nistelrode","51.704454","5.569826","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.704454&mlon=5.569826&zoom=16","http://maps.google.com/maps?q=51.704454,5.569826",""
"Oss","","Raadhuishof 25","Oss","51.764264","5.524818","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.764264&mlon=5.524818&zoom=16","http://maps.google.com/maps?q=51.764264,5.524818",""
"Oss mural op V&D rolluik","","Walstraat 1","Oss","51.768031","5.524535","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.768031&mlon=5.524535&zoom=16","http://maps.google.com/maps?q=51.768031,5.524535",""
"Ossekop: Removed ?","","Julianasingel","Oss","51.754198","5.546831","","No","Removed","http://www.openstreetmap.org/?mlat=51.754198&mlon=5.546831&zoom=16","http://maps.google.com/maps?q=51.754198,5.546831",""
"Oud Gemeentehuis Nuland","","","Geffen","51.725162","5.435182","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.725162&mlon=5.435182&zoom=16","http://maps.google.com/maps?q=51.725162,5.435182",""
"Oude Bernhoven","","Joannes Zwijsenlaan 121","Oss","51.757854","5.525881","","","Removed","http://www.openstreetmap.org/?mlat=51.757854&mlon=5.525881&zoom=16","http://maps.google.com/maps?q=51.757854,5.525881",""
"Oude Kar","","","Nistelrode","51.696701","5.558574","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.696701&mlon=5.558574&zoom=16","http://maps.google.com/maps?q=51.696701,5.558574",""
"Oude kazerne bij Jezusgym","","Palmstraat 4","Oss","51.758801","5.528167","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.758801&mlon=5.528167&zoom=16","http://maps.google.com/maps?q=51.758801,5.528167",""
"Oude Oven Geffen","","","Geffen","51.741723","5.463711","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.741723&mlon=5.463711&zoom=16","http://maps.google.com/maps?q=51.741723,5.463711",""
"Oude Raadhuis","","","Heesch","51.735212","5.527466","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.735212&mlon=5.527466&zoom=16","http://maps.google.com/maps?q=51.735212,5.527466",""
"Oude Waterpomp","","","Geffen","51.742158","5.462156","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.742158&mlon=5.462156&zoom=16","http://maps.google.com/maps?q=51.742158,5.462156",""
"Ouds Scheeps Anker","","","Geffen","51.727221","5.433729","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.727221&mlon=5.433729&zoom=16","http://maps.google.com/maps?q=51.727221,5.433729",""
"Paal","","Marchantstraat 15","Oss","51.757149","5.50687","","Yes","None","http://www.openstreetmap.org/?mlat=51.757149&mlon=5.50687&zoom=16","http://maps.google.com/maps?q=51.757149,5.50687",""
"Paalkransheuvels","","","Heesch","51.732983","5.566228","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.732983&mlon=5.566228&zoom=16","http://maps.google.com/maps?q=51.732983,5.566228",""
"Parochie Beeld","","Kromstraat 109G","Oss","51.761996","5.510413","","Yes","None","http://www.openstreetmap.org/?mlat=51.761996&mlon=5.510413&zoom=16","http://maps.google.com/maps?q=51.761996,5.510413",""
"Patrijs Speeltuin","","","Oss","51.768831","5.534708","","Yes","Unknown","","http://lh3.googleusercontent.com/ya7y3hF_b_LX9aRTfL2IhN86KPIYtYWuRVZW2XepjRzat0UnTMIHEnjXf-v4vz3AIDNFINJNarm4w2ROUkNh"
"Pauluskerk","","Aartshertoginstraat","Oss","51.77151","5.514124","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.77151&mlon=5.514124&zoom=16","http://maps.google.com/maps?q=51.77151,5.514124",""
"Pauskerk","","Wethouder van Eschstraat 165","Oss","51.761838","5.523236","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.761838&mlon=5.523236&zoom=16","http://maps.google.com/maps?q=51.761838,5.523236",""
"Peach Memorial","peach, pease","Professor Regoutstraat 173","Oss","51.773701","5.532446","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.773701&mlon=5.532446&zoom=16","http://maps.google.com/maps?q=51.773701,5.532446",""
"Petting Zoo Binckhorst","","","Geffen","51.724323","5.40404","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.724323&mlon=5.40404&zoom=16","http://maps.google.com/maps?q=51.724323,5.40404",""
"Piet Mondriaan herdenkingsteken","","","Nistelrode","51.701153","5.562155","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.701153&mlon=5.562155&zoom=16","http://maps.google.com/maps?q=51.701153,5.562155",""
"Piramide Kunst","piramide, pyramide","Inlaat 11","Oss","51.777193","5.500713","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.777193&mlon=5.500713&zoom=16","http://maps.google.com/maps?q=51.777193,5.500713",""
"Playground","vierhoeksingel","Hertogin Mariastraat 18","Oss","51.76732","5.510414","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.76732&mlon=5.510414&zoom=16","http://maps.google.com/maps?q=51.76732,5.510414",""
"Playground","westvelderlaan","Westerveldlaan","Oss","51.772442","5.50252","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.772442&mlon=5.50252&zoom=16","http://maps.google.com/maps?q=51.772442,5.50252",""
"Playground","","Almstein 3","Oss","51.775379","5.52172","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.775379&mlon=5.52172&zoom=16","http://maps.google.com/maps?q=51.775379,5.52172",""
"Playground","duiker","Duiker 14","Oss","51.775389","5.50416","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.775389&mlon=5.50416&zoom=16","http://maps.google.com/maps?q=51.775389,5.50416",""
"Playground Beukenstraat","beukenstraat","Beukenstraat","Oss","51.755884","5.539153","OCL 20180620","Yes","Stop","http://www.openstreetmap.org/?mlat=51.755884&mlon=5.539153&zoom=16","http://maps.google.com/maps?q=51.755884,5.539153",""
"Playground Binckhorst","","","Geffen","51.722069","5.405783","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.722069&mlon=5.405783&zoom=16","http://maps.google.com/maps?q=51.722069,5.405783",""
"Playground Binckhorst","","","Geffen","51.722998","5.402657","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.722998&mlon=5.402657&zoom=16","http://maps.google.com/maps?q=51.722998,5.402657",""
"Playground Edelenburg","edelenburg","","Oss","51.778484","5.514469","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.778484&mlon=5.514469&zoom=16","http://maps.google.com/maps?q=51.778484,5.514469",""
"Playground Heilige Eik","","","Heesch","51.730664","5.530703","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.730664&mlon=5.530703&zoom=16","http://maps.google.com/maps?q=51.730664,5.530703",""
"Playground Iepenstraat","iepenstraat","Iepenstraat 18","Oss","51.755536","5.539423","ONL 20180620","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.755536&mlon=5.539423&zoom=16","http://maps.google.com/maps?q=51.755536,5.539423",""
"Playground Kraaienest","kraaiennest","Kraaienest 20","Oss","51.775493","5.498342","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.775493&mlon=5.498342&zoom=16","http://maps.google.com/maps?q=51.775493,5.498342",""
"Playground Polderkade","polerkade","Polderkade 7","Oss","51.777674","5.505547","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.777674&mlon=5.505547&zoom=16","http://maps.google.com/maps?q=51.777674,5.505547",""
"Playground Zinker","zinker","","Oss","51.77626","5.504492","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.77626&mlon=5.504492&zoom=16","http://maps.google.com/maps?q=51.77626,5.504492",""
"Poort Oude Publieke Begraafplaats","","","Nistelrode","51.701425","5.559984","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.701425&mlon=5.559984&zoom=16","http://maps.google.com/maps?q=51.701425,5.559984",""
"Poort Van Het Paradijs","","","Nistelrode","51.691186","5.578042","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.691186&mlon=5.578042&zoom=16","http://maps.google.com/maps?q=51.691186,5.578042",""
"Prijsschieten","","","Oss","51.77026","5.550956","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.77026&mlon=5.550956&zoom=16","http://maps.google.com/maps?q=51.77026,5.550956",""
"Raboart","","","Heesch","51.73265","5.509831","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.73265&mlon=5.509831&zoom=16","http://maps.google.com/maps?q=51.73265,5.509831",""
"Rainbow Ice Cream","","","Nistelrode","51.701936","5.562034","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.701936&mlon=5.562034&zoom=16","http://maps.google.com/maps?q=51.701936,5.562034",""
"Regenboog","","","Oss","51.761188","5.521839","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.761188&mlon=5.521839&zoom=16","http://maps.google.com/maps?q=51.761188,5.521839",""
"Rhino On Rooftop","rhino","","Oss","51.779789","5.553782","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.779789&mlon=5.553782&zoom=16","http://maps.google.com/maps?q=51.779789,5.553782",""
"Ringen","","","Oss","51.779098","5.512959","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.779098&mlon=5.512959&zoom=16","http://maps.google.com/maps?q=51.779098,5.512959",""
"Roggeblad","","","Heesch","51.726986","5.542864","","Yes","ExGym","http://www.openstreetmap.org/?mlat=51.726986&mlon=5.542864&zoom=16","http://maps.google.com/maps?q=51.726986,5.542864",""
"Rollout Art Bench","rollout","","Oss","51.766279","5.52822","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.766279&mlon=5.52822&zoom=16","http://maps.google.com/maps?q=51.766279,5.52822",""
"Roman Statue","","","Geffen","51.73039","5.43265","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.73039&mlon=5.43265&zoom=16","http://maps.google.com/maps?q=51.73039,5.43265",""
"Roodborst Speeltuin","","","Oss","51.768586","5.539889","","Yes","Gym","","http://lh3.googleusercontent.com/Emdri5fnABTU1i6N7lYxG2wwEN05ffSC50W9o9LgzwG0ct_gMtPD_AGnZQraWqATYCQqGVb1g1necEAFGcUv"
"Rooflifters","","","Nistelrode","51.702704","5.561921","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.702704&mlon=5.561921&zoom=16","http://maps.google.com/maps?q=51.702704,5.561921",""
"Roundabout Art","roundabout","","Oss","51.770633","5.514779","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.770633&mlon=5.514779&zoom=16","http://maps.google.com/maps?q=51.770633,5.514779",""
"Royal Beatrix - Claustree","","","Geffen","51.722685","5.436285","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.722685&mlon=5.436285&zoom=16","http://maps.google.com/maps?q=51.722685,5.436285",""
"S' Jozef School","sint jozef, jozef school","","Berghem","51.76998","5.567866","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.76998&mlon=5.567866&zoom=16","http://maps.google.com/maps?q=51.76998,5.567866",""
"Saint Chris Church","saint chris","Sint Willibrordusstraat 40","Berghem","51.769882","5.56711","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769882&mlon=5.56711&zoom=16","http://maps.google.com/maps?q=51.769882,5.56711",""
"Schommele Schommele Schommele","schommele, schommele schommele","Anna Bijnsstraat 10","Oss","51.754016","5.507403","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.754016&mlon=5.507403&zoom=16","http://maps.google.com/maps?q=51.754016,5.507403",""
"Schommelplaats Park Waterlaat","schommeplaats, waterlaat","Geerd Visserlaan","Oss","51.769287","5.544385","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.769287&mlon=5.544385&zoom=16","http://maps.google.com/maps?q=51.769287,5.544385",""
"Schommels in het park","","Zwaluwstraat 53","Oss","51.767645","5.544788","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.767645&mlon=5.544788&zoom=16","http://maps.google.com/maps?q=51.767645,5.544788",""
"Schutskooi Ussen","schutskooi","Ussenstraat 122","Oss","51.766578","5.491934","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.766578&mlon=5.491934&zoom=16","http://maps.google.com/maps?q=51.766578,5.491934",""
"Scoutcentrum Achter De Berg","","","Nistelrode","51.688497","5.565556","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.688497&mlon=5.565556&zoom=16","http://maps.google.com/maps?q=51.688497,5.565556",""
"Sint Johanes Onthoofding Kerk.","","","Geffen","51.730766","5.432856","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.730766&mlon=5.432856&zoom=16","http://maps.google.com/maps?q=51.730766,5.432856",""
"Sitting Female Statue","","Anna Bijnsstraat 62","Oss","51.753445","5.506375","","Yes","None","http://www.openstreetmap.org/?mlat=51.753445&mlon=5.506375&zoom=16","http://maps.google.com/maps?q=51.753445,5.506375",""
"Skate Baan Graffiti","","Rusheuvelstraat 24B","Oss","51.777682","5.521869","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.777682&mlon=5.521869&zoom=16","http://maps.google.com/maps?q=51.777682,5.521869",""
"Skatebaan","","Kuipers Rietbergstraat 146","Oss","51.774454","5.533164","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.774454&mlon=5.533164&zoom=16","http://maps.google.com/maps?q=51.774454,5.533164",""
"Skatebaan Kuiper Rietbergstraat","kuiper rietbergstraat","Kuipers Rietbergstraat 144","Oss","51.77444","5.533151","PLP","Yes","Stop","http://www.openstreetmap.org/?mlat=51.77444&mlon=5.533151&zoom=16","http://maps.google.com/maps?q=51.77444,5.533151",""
"Sneeuwpop","","","Oss","51.769213","5.528572","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.769213&mlon=5.528572&zoom=16","http://maps.google.com/maps?q=51.769213,5.528572",""
"Soccerfield Zuiderpark","soccerfield, zuiderpark","","Oss","51.759585","5.538312","ONL 20180620","Yes","Gym","http://www.openstreetmap.org/?mlat=51.759585&mlon=5.538312&zoom=16","http://maps.google.com/maps?q=51.759585,5.538312",""
"Sociaal Cultureel Centrum","","","Oss","51.76721","5.521039","","Yes","None","http://www.openstreetmap.org/?mlat=51.76721&mlon=5.521039&zoom=16","http://maps.google.com/maps?q=51.76721,5.521039",""
"Solar Tree","","Zuid","Oss Outside","51.749585","5.561175","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.749585&mlon=5.561175&zoom=16","http://maps.google.com/maps?q=51.749585,5.561175",""
"Solar Tree","","Osseweg","Oss","51.769926","5.551965","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.769926&mlon=5.551965&zoom=16","http://maps.google.com/maps?q=51.769926,5.551965",""
"Solar Tree 2","","Woonboulevard","Berghem","51.755826","5.556231","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.755826&mlon=5.556231&zoom=16","http://maps.google.com/maps?q=51.755826,5.556231",""
"Speeltuin","","Purperbeer","Oss","51.77363","5.505929","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.77363&mlon=5.505929&zoom=16","http://maps.google.com/maps?q=51.77363,5.505929",""
"Speeltuin Adelaar","adelaar","","Oss","51.768143","5.549392","OCL","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.768143&mlon=5.549392&zoom=16","http://maps.google.com/maps?q=51.768143,5.549392",""
"Speeltuin Albarda","albarda","","Oss","51.754974","5.498989","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.754974&mlon=5.498989&zoom=16","http://maps.google.com/maps?q=51.754974,5.498989",""
"Speeltuin Anker","anker","","Berghem","51.773681","5.500579","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.773681&mlon=5.500579&zoom=16","http://maps.google.com/maps?q=51.773681,5.500579",""
"Speeltuin Appelhof","","","Oss","51.770635","5.498278","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.770635&mlon=5.498278&zoom=16","http://maps.google.com/maps?q=51.770635,5.498278",""
"Speeltuin Beethovengaarde","beethovengaarde","","Oss","51.755554","5.512807","","Yes","Gym","http://www.openstreetmap.org/?mlat=51.755554&mlon=5.512807&zoom=16","http://maps.google.com/maps?q=51.755554,5.512807",""
"Speeltuin Boegbeeld","","","Oss","51.776837","5.496821","OCL","No","Pending","http://www.openstreetmap.org/?mlat=51.776837&mlon=5.496821&zoom=16","http://maps.google.com/maps?q=51.776837,5.496821",""
"Speeltuin Bourbon","bourbon","","Oss","51.767419","5.536405","","Yes","Unknown","http://www.openstreetmap.org/?mlat=51.767419&mlon=5.536405&zoom=16","http://maps.google.com/maps?q=51.767419,5.536405",""
"Speeltuin Buitenhof","buitenhof","","Oss","51.77909","5.507113","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.77909&mlon=5.507113&zoom=16","http://maps.google.com/maps?q=51.77909,5.507113",""
"Speeltuin Catharinahoeve","","","Heesch","51.73573","5.52447","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.73573&mlon=5.52447&zoom=16","http://maps.google.com/maps?q=51.73573,5.52447",""
"Speeltuin Cluster","cluster","Vossehol 89","Oss","51.748937","5.499698","","Yes","Stop","http://www.openstreetmap.org/?mlat=51.748937&mlon=5.499698&zoom=16","http://maps.google.com/maps?q=51.748937,5.499698",""
